ID,County,State,TotalPop,Total income,poverty population,poverty percentage,percapitalincome
2688,Skagway Municipality,Alaska,1038,40872288.0,58.0,6.0,39376.0
2689,Skamania,Washington,11498,329347857.0,1527.0,13.0,28644.0
2690,Slope,North Dakota,674,23669532.0,46.0,7.0,35118.0
2691,Smith,Kansas,3693,103853734.0,491.0,13.0,28122.0
2692,Smith,Mississippi,16114,352317471.0,2933.0,18.0,21864.0
2693,Smith,Tennessee,19279,443710605.0,2733.0,14.0,23015.0
2694,Smith,Texas,222277,5839259002.0,36600.0,16.0,26270.0
2695,Smyth,Virginia,31298,698554631.0,5430.0,17.0,22319.0
2696,Snohomish,Washington,771904,27585804971.0,68924.0,9.0,35737.0
2697,Snyder,Pennsylvania,40570,1012686986.0,4361.0,11.0,24961.0
2698,Socorro,New Mexico,17098,290960384.0,4606.0,27.0,17017.0
2699,Solano,California,434981,13890668671.0,49199.0,11.0,31934.0
2700,Somerset,Maine,50994,1154550150.0,9062.0,18.0,22641.0
2701,Somerset,Maryland,25801,474613824.0,5845.0,23.0,18395.0
2702,Somerset,New Jersey,333316,17306957639.0,15863.0,5.0,51924.0
2703,Somerset,Pennsylvania,75619,1805562553.0,9389.0,12.0,23877.0
2704,Somervell,Texas,8650,234378358.0,1856.0,21.0,27096.0
2705,Sonoma,California,500943,18918940884.0,53533.0,11.0,37767.0
2706,Southampton,Virginia,18089,466404717.0,1973.0,11.0,25784.0
2707,Southeast Fairbanks Census Area,Alaska,6889,213908186.0,950.0,14.0,31051.0
2708,Spalding,Georgia,64192,1391367126.0,13937.0,22.0,21675.0
2709,Spartanburg,South Carolina,297732,7379516313.0,47203.0,16.0,24786.0
2710,Spencer,Indiana,20610,600033640.0,1998.0,10.0,29114.0
2711,Spencer,Kentucky,18012,554387794.0,1575.0,9.0,30779.0
2712,Spink,South Dakota,6478,207016322.0,641.0,10.0,31957.0
2713,Spokane,Washington,490764,13900781124.0,76400.0,16.0,28325.0
2714,Spotsylvania,Virginia,130159,4407097490.0,10381.0,8.0,33859.0
2715,St. Bernard Parish,Louisiana,45067,920759889.0,8874.0,20.0,20431.0
2716,St. Charles,Missouri,385115,13720365299.0,22126.0,6.0,35627.0
2717,St. Charles Parish,Louisiana,52728,1601741570.0,6449.0,12.0,30377.0
2718,St. Clair,Alabama,86937,2146175189.0,11877.0,14.0,24687.0
2719,St. Clair,Illinois,264433,7574229657.0,45030.0,17.0,28643.0
2720,St. Clair,Michigan,159761,4442403061.0,21382.0,13.0,27807.0
2721,St. Clair,Missouri,9396,195686796.0,2086.0,22.0,20827.0
2722,St. Croix,Wisconsin,87142,3186040213.0,4167.0,5.0,36561.0
2723,St. Francis,Arkansas,26688,440834310.0,7090.0,27.0,16518.0
2724,St. Francois,Missouri,66248,1387506699.0,10283.0,16.0,20944.0
2725,St. Helena Parish,Louisiana,10509,222251315.0,2771.0,26.0,21149.0
2726,St. James Parish,Louisiana,21485,552672738.0,3360.0,16.0,25724.0
2727,St. John the Baptist Parish,Louisiana,43565,1018539064.0,7867.0,18.0,23380.0
