Crash ID,Vehicle ID,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag
1829867,3446098,0,3,7,1,0,0,,,129,128,,0,0,0,1,0,1,1,,,,
1829867,3446098,,,,,,,,,,,,,,,,,,,1,0,0,1
1829867,3446099,0,1,3,7,0,0,,,,,,0,0,1,0,0,1,0,,,,
1829867,3446099,,,,,,,,,,,,,,,,,,,1,0,0,1
1829871,,,,,,,,,,,,,,,,,,,,,,,
1829871,3446106,0,1,7,3,0,0,,,128,58,62,0,0,1,0,0,1,1,,,,
1829871,3446106,,,,,,,,,,,,,,,,,,,1,0,0,2
1829928,,,,,,,,,,,,,,,,,,,,,,,
1829928,3446228,1,1,5,1,0,0,,,,,,0,0,3,0,0,3,1,,,,
1829928,3446228,,,,,,,,,,,,,,,,,,,1,0,0,1
1829928,3446228,,,,,,,,,,,,,,,,,,,2,0,0,1
1829928,3446228,,,,,,,,,,,,,,,,,,,2,0,0,1
1829928,3446229,0,3,7,1,0,0,,,,,,0,0,2,2,0,1,0,,,,
1829928,3446229,,,,,,,,,,,,,,,,,,,1,0,0,2
1829928,3446229,,,,,,,,,,,,,,,,,,,2,0,0,2
1829928,3446229,,,,,,,,,,,,,,,,,,,2,0,0,2
1829928,3446229,,,,,,,,,,,,,,,,,,,2,0,0,2
1829983,,,,,,,,,,,,,,,,,,,,,,,
1829983,3446340,0,1,7,3,0,0,,,10,,,0,0,0,1,0,1,1,,,,
1829983,3446340,,,,,,,,,,,,,,,,,,,1,0,0,1
1829988,,,,,,,,,,,,,,,,,,,,,,,
1829988,3446354,0,1,3,7,0,0,,,35,128,,0,0,1,0,0,1,1,,,,
1829988,3446354,,,,,,,,,,,,,,,,,,,1,0,0,2
1830030,,,,,,,,,,,,,,,,,,,,,,,
1830030,3446435,0,1,7,3,6,0,,,,,,0,0,1,0,0,1,1,,,,
1830030,3446435,,,,,,,,,,,,,,,,,,,1,0,0,1
1830030,3446436,0,1,7,3,6,0,,,,,,0,0,4,0,0,1,0,,,,
1830030,3446436,,,,,,,,,,,,,,,,,,,1,0,0,1
1830030,3446436,,,,,,,,,,,,,,,,,,,2,0,0,2
1830030,3446436,,,,,,,,,,,,,,,,,,,2,0,0,2
1830038,,,,,,,,,,,,,,,,,,,,,,,
1830038,3446451,0,1,3,7,0,0,,,124,77,10,0,0,3,0,0,3,1,,,,
1830038,3446451,,,,,,,,,,,,,,,,,,,1,0,0,1
1830046,,,,,,,,,,,,,,,,,,,,,,,
1830046,3446464,0,1,3,7,1,0,,,62,10,,0,0,1,0,0,1,1,,,,
1830046,3446464,,,,,,,,,,,,,,,,,,,1,0,0,1
1830165,,,,,,,,,,,,,,,,,,,,,,,
1830165,3446710,0,1,3,7,7,0,,,124,77,10,0,0,3,0,0,3,1,,,,
1830165,3446710,,,,,,,,,,,,,,,,,,,1,0,0,1
1830165,3446710,,,,,,,,,,,,,,,,,,,2,0,0,2
1830217,,,,,,,,,,,,,,,,,,,,,,,
1830217,3446808,0,1,7,3,0,0,,,128,,,0,0,1,0,0,1,1,,,,
1830217,3446808,,,,,,,,,,,,,,,,,,,1,0,0,1
1830217,3446809,0,1,3,7,0,0,,,,,,0,0,1,0,0,1,0,,,,
1830217,3446809,,,,,,,,,,,,,,,,,,,1,0,0,2
1830243,,,,,,,,,,,,,,,,,,,,,,,
1830243,3446869,0,1,3,7,0,0,,,,,,0,0,1,0,0,1,1,,,,
1830243,3446869,,,,,,,,,,,,,,,,,,,1,0,0,1
1830243,3446870,0,3,3,5,0,0,,,,,,0,0,2,0,0,2,0,,,,
1830243,3446870,,,,,,,,,,,,,,,,,,,1,0,0,2
1830243,3446870,,,,,,,,,,,,,,,,,,,2,0,0,2
1831161,,,,,,,,,,,,,,,,,,,,,,,
1831161,3448666,0,1,8,4,0,0,,,,,,0,0,1,0,0,1,1,,,,
1831161,3448666,,,,,,,,,,,,,,,,,,,1,0,0,1
1831161,3448667,0,1,8,4,6,0,,,,,,0,0,1,0,0,1,0,,,,
1831161,3448667,,,,,,,,,,,,,,,,,,,1,0,0,1
1831660,,,,,,,,,,,,,,,,,,,,,,,
1831660,3449621,0,1,4,8,0,0,,,,,,0,0,1,0,0,1,1,,,,
1831660,3449621,,,,,,,,,,,,,,,,,,,1,0,0,2
